player_id,player,birth_year,hof,num_seasons,first_seas,last_seas,points,assists,rebound,blocks,steals,games,minutes,FG,FG%,eFG%,All NBA 1st team,All NBA 2nd team,All NBA 3rd team,All Defense 1st team,All Defense 2nd team,All Rookie 1st team,All Rookie 2nd team,All ABA 1st team,All ABA 2nd team,All Star appearances,MVPs,DPOY,NBA ROY,MIP,SMOY,ABA MVP,ABA ROY
99,Joe Fulks,1921.0,True,8,1947,1954,8003,587,1379.0,0.0,0.0,489,4490.0,2824,2.395,2.395,0,1,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0
162,Andy Phillip,1922.0,True,11,1948,1958,7106,4156,2759.0,0.0,0.0,771,18068.0,2573,4.827,4.827,0,2,0,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0
167,Buddy Jeannette,1917.0,True,3,1948,1950,997,287,0.0,0.0,0.0,139,0.0,265,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
169,Carl Braun,1927.0,True,13,1948,1962,10625,2892,2122.0,0.0,0.0,788,18409.0,3912,5.073,5.073,0,1,0,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0
209,Arnie Risen,1924.0,True,10,1949,1958,7633,1058,5011.0,0.0,0.0,637,12690.0,2610,3.778,3.778,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0
216,Bob Davies,1920.0,True,7,1949,1955,6594,2250,980.0,0.0,0.0,462,8617.0,2292,2.6470000000000002,2.6470000000000002,3,1,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0
219,Bobby Wanzer,1921.0,True,9,1949,1957,6924,1830,1979.0,0.0,0.0,568,12128.0,2268,3.6119999999999997,3.6119999999999997,0,3,0,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0
246,George Mikan,1924.0,True,7,1949,1956,10156,1245,4167.0,0.0,0.0,439,8350.0,3544,2.8099999999999996,2.8099999999999996,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0
248,Harry Gallatin,1927.0,True,10,1949,1958,8843,1208,6684.0,0.0,0.0,682,15813.0,2810,3.985,3.985,1,1,0,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0
261,Jim Pollard,1922.0,True,7,1949,1955,5762,1417,2487.0,0.0,0.0,438,9391.0,2299,2.5309999999999997,2.5309999999999997,1,2,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0
287,Red Holzman,1920.0,True,6,1949,1954,2166,721,344.0,0.0,0.0,358,2106.0,830,1.8470000000000002,1.8470000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
296,Al Cervi,,True,4,1950,1953,1591,648,261.0,0.0,0.0,202,1151.0,405,1.5050000000000001,1.5050000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
300,Alex Hannum,,True,8,1950,1957,3707,1018,2507.0,0.0,0.0,641,9863.0,1429,4.280999999999999,4.280999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
325,Dick McGuire,,True,11,1950,1960,5921,4205,2784.0,0.0,0.0,738,17170.0,2048,4.291,4.291,0,1,0,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0
328,Dolph Schayes,,True,15,1950,1964,18438,3072,11256.0,0.0,0.0,996,29800.0,5863,5.611,5.611,6,6,0,0,0,0,0,0,0,12,0,0,0,0.0,0,0,0
337,Ed Macauley,,True,10,1950,1959,11234,2079,4325.0,0.0,0.0,641,18071.0,3742,4.22,4.22,3,1,0,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0
406,Slater Martin,,True,11,1950,1960,8055,3429,2590.0,0.0,0.0,811,24290.0,2876,4.685,4.685,0,5,0,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0
410,Vern Mikkelsen,,True,10,1950,1959,10063,1515,5940.0,0.0,0.0,699,18443.0,3547,4.014,4.014,0,4,0,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0
419,Bill Sharman,,True,11,1951,1961,12665,2101,2793.0,0.0,0.0,711,21793.0,4761,4.636,4.636,4,3,0,0,0,0,0,0,0,8,0,0,0,0.0,0,0,0
420,Bob Cousy,,True,14,1951,1970,16960,6955,4786.0,0.0,0.0,924,30165.0,6168,5.206,5.206,10,2,0,0,0,0,0,0,0,13,1,0,0,0.0,1,0,0
424,Chuck Cooper,,True,6,1951,1956,3027,823,2670.0,0.0,0.0,476,9108.0,1034,2.661,2.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
429,Earl Lloyd,,True,9,1951,1960,4682,810,3609.0,0.0,0.0,560,14477.0,1766,3.284,3.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
443,Nat Clifton,,True,8,1951,1958,5444,1367,4469.0,0.0,0.0,544,14369.0,2082,2.888,2.888,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0
445,Paul Arizin,,True,10,1951,1962,16266,1665,6129.0,0.0,0.0,713,24897.0,5628,4.207,4.207,3,1,0,0,0,0,0,0,0,10,0,0,0,0.0,0,0,0
447,Alfred McGuire,,True,4,1952,1955,757,363,418.0,0.0,0.0,191,2966.0,251,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
453,Don Barksdale,,True,4,1952,1955,2895,549,2088.0,0.0,0.0,262,7460.0,1016,1.483,1.483,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0
469,Neil Johnston,,True,8,1952,1959,10023,1269,5856.0,0.0,0.0,516,18298.0,3303,3.4749999999999996,3.4749999999999996,4,1,0,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0
514,Bob Houbregs,,True,5,1954,1958,3644,709,2224.0,0.0,0.0,415,10021.0,1263,3.4109999999999996,3.4109999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
516,Clyde Lovellette,,True,11,1954,1964,11947,1097,6663.0,0.0,0.0,704,19075.0,4784,4.853,4.853,0,1,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0
528,George Yardley,,True,7,1954,1960,10272,880,4651.0,0.0,0.0,533,17606.0,3639,3.852,3.852,1,1,0,0,0,0,0,0,0,6,0,0,0,0.0,0,0,0
549,Bob Pettit,,True,11,1955,1965,20880,2369,12849.0,0.0,0.0,792,30690.0,7349,4.772,4.772,10,1,0,0,0,0,0,0,0,11,2,0,0,0.0,2,0,0
559,Frank Ramsey,,True,9,1955,1964,8378,1134,3410.0,0.0,0.0,623,15330.0,2949,3.577,3.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
